roll,membrane,date,text
Roll A 1a: April 1323 - Aug 1326,Membr. 2,No date,"Further letter acknowledging a reply from the Mayor and Barons of Dover. The Mayor of London had never received any letters from Dover asking him to give execution against Henry Nasard for the debt due, nor could he learn that others had received them, otherwise he would have done as requested. The Mayor etc. of Dover are again desired to order restitution to John de Grantham. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2,1324/06/30,"Letter from Hamo de Chigwell, Mayor, the Aldermen and Commonalty of the City of London to the King, praying him to confirm certain writs of Edw. I with regard to the punishment of fraudulent bakers, millers and brewers, and nightwalkers. By virtue of the first writ (fn. 6) of Ao 10. Edw. I [1281] the good men of the City had ordained the punishment of the hurdle for bakers offending against the Assize of Bread and for millers who stole corn, and imprisonment in the Tun for nightwalkers, and had instituted the weighing of all corn sent out of the City to the millers, and of all flour delivered by the latter, in order to prevent the practice of mixing chalk, white sand and bran in the flour. For this purpose weights, balances and weighing-houses had been provided, for the upkeep of which a toll of one halfpenny on each quarter weighed had been imposed. By a subsequent writ, Edw. I had confirmed these ordinances. Recently, however, the bakers and millers had sued before Geoffrey le Scrope and his fellow-Justices for the abolition of the toll and pesage. The King is desired to order the Justices to stay proceedings. Dated 30 June Ao 17 Edw. II [1324]. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2,1324/08/11,"Letter from the same to the Mayor and Barons of Winchelsea, on behalf of William de Merwell, John Vyncent, Thomas le Werreor and John Hurer of London, whose goods and papers had been seized by men of Winchelsea out of a ship called ""Clays Nyfrard"" of ""Gravenynge,"" and another ship of which Eustace le Fevre was master, under the impression that these goods belonged to French merchants. The writers had caused careful inquiry to be made and were satisfied that the goods were the property of the abovenamed London citizens. Dated 11 Aug. Ao 18 Edw. II [1324]. (F) Marginal note that a similar letter was sent to the Mayor and Barons of Sandwich. (L) Letter from the Mayor etc. to Robert de Kendale, Constable of Dover, desiring him to assist the above-mentioned London citizens to recover their goods. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,1324/09/18,"Letter from the same to Henry de Cobeham, Constable of Rochester Castle, on behalf of Thomas Colebrond of London, whose factor, William le Clerk of Sautrie, had bought a quantity of millstones (moeles de molyn) in Normandy for sale in Kent. These goods had been arrested by the Constable's men under the supposition that they belonged to French merchants. Dated 18 Sept. Ao 18 Edw. II [1324]. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,No date,"Letter from the same to the Mayor and Bailiffs of Northampton, desiring them to constrain Philip Everard of Northampton to pay to John de Oxenford of London a sum of 14½ marks due to the latter on a sale of wine. In answer to previous letters, the Mayor etc. of Northampton had declared that the wine had been taken without payment from the above Philip by the Earl Marshal at the tournament in Northampton, that Philip would pay anything due as soon as account had been rendered between himself and John, and that the authorities of Northampton could not force a man to pay a debt except by process of law. The writers now wish to point out that Philip had acknowledged the debt, which was further witnessed by a tally for 16 marks, of which 20s had been paid, so that no further rendering of account was necessary. As for the plea that the burgesses of Northampton were bound by the common law not to distrain for a debt except by process of law, the writers would have them know that the citizens of London were entitled by their franchises (fn. 7) to take distresses from the fellow-citizens or fellow-burgesses of debtors. Accordingly once more they desire the authorities of Northampton to take steps against the above Philip, who was a fellow-burgess of theirs and under their jurisdiction. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,No date,"Further letter from the Mayor etc. of London to the Mayor etc. of Northampton, threatening that if payment were not made to the above John, they would exact the amount from Northampton burgesses visiting London. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,1325/04/27,"Letter from the same to John Stormi, Admiral, and William de Kirkeby, clerk of the King, informing them that they had dispatched their Serjeant, John atte Rye, with arms and necessaries, to lead and equip the London contingent (fn. 8) of foot-soldiers sent to Harwich, about whom complaint had been made to the King. Dated 27 April. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,No date,"Further letter to the ""Bacheler (fn. 9) "" John Lestormy, Admiral of the North, thanking him for his solicitude for the London foot-soldiers and for having appointed John Lespicer, citizen of London, as their captain. In answer to his request for arms, the writers inform him that they are sending herewith suitable arms, and money for a horse, and that they are anxious to fulfil all his requirements. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,1325/07/09,"Letter from the Mayor and Aldermen of the City of London to the Mayor and Aldermen of Oxford (fn. 10), in answer to their inquiry as to the method of proving and executing a will in a case where one person comes forward to claim a portion of the tenements devised as his fee and right, and another person declares that a writ of novel disseisin is pending in the King's Court with regard to another portion, while the remainder of the land devised is not challenged. The writers say that in London a will is proved by two witnesses sworn and examined, and if, after proclamation made, any one challenges the will, then the will and the challenge are enrolled, and execution is granted. If the execution is disturbed, then the disturber (destourbour) is summoned to explain the reason of his disturbance, and if it be found that the testator had such an estate that he was able to devise it, then execution is carried out, saving to the claimant his right of action if he wishes to pursue it at another time. Dated 9 July Ao 19 Edw. II [1325]. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 2b,No date,"Letter from the same to the Mayor, Bailiffs and good men of Newcastle-on-Tyne on behalf of John de Wrotham of London, for the recovery of a debt due to him from Gilbert Haukyn of Newcastle-on-Tyne. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3,1325/07/20,"Letter from the Mayor and Commonalty of the City of London to the King, complaining that certain men of Flanders had captured the ship ""la Katerine,"" belonging to Reginald de Conduit, off the coast of Thanet between Foreness and Margate, and had carried it away to ""le Swyne "" in Flanders, and that the master, William Fraunceis, and the crew had escaped with difficulty in the ship's boat. At that time the ship was on a voyage from Colette in Poitou to London with a cargo of 1480 quarters of salt, value £296, belonging to the above Reginald and John de Grantham. The ship itself, which was of 220 casks of wine burden, was valued at £300, including the mast, sail, yard, a wooden luff (fn. 11) (loof), forecastle and poop-works (cum castello navis et hurdicio ante et retro) and ""topcastel."" The gear and stores included 7 anchors value £25, 8 large cables of which 3 were new, value £40, 3 cables called ""haunsers,"" 8 lines (linee) and 2 ""handropes"" value 110s, wooden and iron vessels value £10 7s 2d, 2 casks of wine and 80 gallons of beer value £6 10s, corn and baked bread value 50s, beef and mutton value 30s, salt-fish value 70s, arms for the crew value 100s, and fishing-nets value 40s. The writers pray the King to order his Chancellor to give redress, and to intercede with the Count of Flanders. Dated 20 July Ao 19 Edw. II [1325]. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3,1325/08/04,"Letter from the same to Henry, lord of Poland, Stralsund (Scargadensis) and Rostock (fn. 12), desiring him to compel John le Whit of Germany to pay debts owed to London citizens. The above John had secretly left London owing money to Richard de Hakeneye (fn. 13), William Prodhomme, Robert le Bret, John Priour, Richard de Betoigne, Henry le Palmere, William le Hattere, Remund de Burdeux, Thomas de Evenefeld, John de Wrotham, Adam de Salesbirs, John de Balsham and John le Balauncer, and was then reported to be in Henry's dominions. Dated 4 Aug. 1325. (L)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3,1326/02/17,"Letter from the Mayor etc. to the King, reminding him that the citizens of London possessed the privilege of free trade at Southampton, Yarmouth, Gorleston and all other towns in England. Recently the burgesses of Yarmouth, relying on a charter from Edw. I, had challenged this right, and a plea was pending before the King's Justice, Geoffrey le Scrope. The King is desired to order the latter to allow the ancient customs of London. Dated 17 Feb. Ao 19 Edw. II [1325-6]. (F) Similar letter to some person unnamed, bespeaking his favour in the same matter. (F) Note that other letters were sent to the Chancellor and Sir Geoffrey le Scrope. (L)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3,1326/02/25,"Letter from the Mayor etc. to the King, praying him to write to the Burgomasters, Echevins, Aldermen and Commonalty of Lübeck (fn. 14) to obtain payment by John le White of Germany and Arnold his brother of a sum of money, due to Richard de Hakeney of London on a sale of wool. Dated 25 Feb. Ao 19 Edw. II [1325-6]. (L)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3,1326/08/10,"Letter from the same to the Burgomasters, Echevins and Commonalty of Bruges. The writers had heard that the Burgomasters etc., at the request of Arnold le White, had written to the authorities of Lübeck alleging that a plea between the above Arnold and Richard de Hakeney was pending before them, and this they had done in order to prevent Richard de Hakeney from obtaining payment of the debt owed to him. They are desired not to hinder the said Richard any further. Dated 10 Aug. 1326. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3b,No date,"Letter from the same to the Burgomasters etc. of Lübeck on behalf of Richard de Hakeney, whose debtors, John le White and Arnold his brother, were said to be in Lübeck. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3b,1326/08/23,"Letter from the same to the Echevins and Bailiffs of Sluys in Flanders on behalf of Henry le Bere of London, who had been arrested by them at the suit of Stephen le May of Bayonne, on the supposition that he was a certain Reginald le Ropere, or else factor and partner of the said Reginald and John Pik. The. writers certify that the above Henry had no connection with Reginald and John, and pray the Echevins etc. to restore to him his goods, and to discharge Walter Gawelos, who had acted as mainpernor for him. Dated 23 Aug. 1326. (F)"
Roll A 1a: April 1323 - Aug 1326,Membr. 3b,No date,"Letter from the same to the Mayor, Echevins and Bailiffs of Louvain, desiring them to obtain from John Andres, merchant of Louvain, payment of a debt due on a bond from him to Robert le Callere of London. The bond provided for payment at St Ives at the last Feast of the Ascension, with a penalty of 40d for each day that it was in arrears. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,No date,"The oath (fn. 1) taken by divers persons to maintain the commonalty of the realm; to protect Isabella, Queen of England, and Edward, eldest son of the King and heir-apparent of the Realm of England; to aid them in their cause against Hugh le Despenser the younger and Master Robert de Baldok their enemies and the latter's adherents; to give good counsel; to safeguard the liberties of the City; and to maintain whatever had been done by reason of that quarrel. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1326/12/30,"The oath taken before the several Aldermen in their Wards on Tuesday before the Epiphany [6 Jan.] Ao 20 Edw. II [1326-7] to keep the peace, to seek no redress except by process of law, to bring offenders before the Mayor and Sheriffs, and to report at the Guildhall the names of those unwilling to take the oath. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1327/01/20,"The oath (fn. 2) taken by the Archbishop of Canterbury and other Bishops mentioned below on Tuesday before the Feast of St Vincent [22 Jan.] to safeguard Isabella, Queen of England, and Edward, now King of England etc. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1327/01/12,"Note (fn. 3) that on Monday before the Feast of St Hilary [13 Jan.] Ao 20 Edw. II [1326-7] letters were sent by Richard de Betoyne, Mayor, the Aldermen and Commonalty of London to the Archbishops, Bishops, Earls, Barons and other great men, asking whether they were willing to be in accord with the City and to swear to maintain the cause of Queen Isabella and Edward her son, to crown the latter, and to depose his father for his frequent offences against his oath and his Crown."
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1327/01/13,"On Tuesday the Feast of St Hilary [13 Jan.] the lords mentioned below came to the Guildhall, and in the presence of the Mayor, Aldermen and a great Commonalty took the oath as follows. Oath to safeguard Isabella, Queen of England, and Edward, eldest son of the King of England and heir-apparent, in their cause against Hugh le Despenser the younger and Master Robert de Baldok, to give good counsel, to safeguard the liberties of the City, to maintain whatever had been done by reason of the quarrel with the said Hugh and Robert, and to keep the ordinances made, or to be made, in the present Parliament by the peers of the land. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1327/01/15,"Earls: Thomas, Earl Marshal; Edmund, Earl of Kent; John, Earl of Hereford; John, Earl of Warenne—these were sworn at the Guildhall on Thursday after the Feast of St Hilary [13 Jan.], and all the knights of their retinue (retinencia)."
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2,1327/01/13,"Barons: Roger de Mortuo Mari, Hugh Daudele, John de Claveringe, Robert de Morle, Richard de Grey, Henry de Percy, Peter de Maulee, Robert de Lisle, William de Roos, William le Latimer, Henry Fitz Hugh, William de Kyme, Giles de Badlesmere, John Mautravers, Thomas Wake de Lydel, John de Moubray, Thomas Tregoz, Thomas de Veer, Hugh de Nevil, John de Charleton, Robert de Kendale, Maurice le Brun, Richard de Grey, Robert de Mohaut.  Knights and Serjeants of the Court (servientes de Curia): John de Beek, Nicholas de Greye, John de Wrokeshale, Bartholomew de Burghwassh, Robert de Watevill, Robert de Neyvill, John de Moun, Philip de la Beche, John de la Becche, Ralph de Bolmere, John de Wylington, John de Weston, Robert de Ethingham, John Mauduyt, William de Faucomberge, Richard de Perers, Giles de Trompeton, Robert de Asphalle, Edward, Roger and John, sons of Roger de Mortumere, Gilbert de Aton, Walter de Norwyco, Edmund Passelewe, John de Motford, Humfrey de Waleden, Thomas de Cobeham, John de Cobham, junior, William de Wolvertone, junior, John de Wysham, Geoffrey de Hautevill, Nicholas Gentil, Thomas de Nereford, William de Bayhuse, Robert de Reppes, John de Mereworth, Henry de Sothull, Richard Plays, Alan Talbot, Thomas de Poninges, Henry de Mountfort, John de Ifeld, Philip de Neyvill, Robert de Esden, John Claver, William de Wauncy, Thomas Gobyon, Benet de Cokfeld, Robert de Malmesbury, Warisius de Valoynes, Nicholas Kyriel, Adam de Swylington, Walter Beauchamp, John de Seint Maur, John de Blokesham, Robert de Leukenore; [the following six persons are noted as Serjeants] John de Denham, William de Denham, Gilbert de Toutheby, John de Bever, John de Cauntebreg and Thomas Bacoun; Richard Talbot, John de Clynton, William Lovel, Roger de Bilneye; [the following four persons are noted as Justices] John Bourser, Geoffrey le Scrop, John de Stonore and Robert de Malberthorp; Ralph de Bockyng, Nicholas de Eton, Walter Waldeshef, Stephen de Abyndon of London.  Knights of the Shires: Robert Baynard, John de Clivedon, Andrew de Seintliz, Matthew de Bassingburn, Simon de Drayton, John de Warblyngton, Roger Pichard, Robert de Davyntre, Roger de Cheyne, Richard de la Ryvere, Brian de Bowyz, John de Beaumond, Roger Ragoun.  Archbishops and Bishops: Walter, Archbishop of Canterbury; Alexander, Archbishop of Dublin; John, Bishop of Winchester, Treasurer of England; Roger, Bishop of Salisbury; John, Bishop of Bath and Wells; John, Bishop of Chichester; John, Bishop of Llandaff; William, Bishop of Norwich, King's Chancellor; Roger, Bishop of Chester; John, Bishop of Ely; Henry, Bishop of Lincoln; the Bishop of Rochester; Thomas, Bishop of Worcester; the Bishop of Hereford.  Abbots: The Abbots of Westminster, St Albans, Waltham [non venit nec juravit], Bury St Edmunds, Peterborough.  Priors: The Priors of Bermondeseye, St Mary de Suthwerk, Holy Trinity in London.  Priests and Clerks: Robert Milys, William de Coshale, Master Es' de Powell, Roger de Waltham, William de Everdon, William de Fulburne, William de Stowe, Richard de Wottone, Richard de Chestre, Master Gilbert de Middelton, official of Canterbury, Adam de Lymbergh, Master Robert de Norton, Dean of the Arches, Master Richard de Gloucester, Master Laurence Fastolf, Master William de Maldon, Master Richard de Radeswell, Master John de Everdon, Dean of St Paul's, Master William de Meleford, Master Gerard Cosaunce, Master William de Braye, Master John de Elham.  Barons of the Cinque Ports: William le Serjeant of Hastynges, John Athelard of Wynchelse, Robert Athelard, Stephen Athelard, Peter Barde, Thomas Aspillon, John Gernon, Stephen de Padyham, John de Upton, John de Wylhope, William Hurtyn of Dover, Hugh Chaumpeneys, John Moys of Sandwich, Robert Marchaunt, John de Hamptone, John atte Hole, Robert Brounyng, Robert Fraunceys, Raulyn Nute, Hugh le Goldesmethe, John Birchet, James de Forde, William Gaylard, Richard Goldyng, Adam Steffan, Robert Norkyn, Alexander Hurtyn, Thomas le Rede, Adam Byndere, Thomas de Hethe.  From Bury S t Edmunds: Peter de Bradfeld, Geoffrey de Ormesby, Thomas de Batesford, John atte Grene, Richard de Ayssh.  Burgesses of S t Albans: Stephen Gomage, Roger de Essex, Master John Baldewyn, Gilbert de Hertford, John de Hertford, John de Brockelee, Robert le Goldesmythe, Philip Aleyn, Roger de Tangton, John de Dygoneswell, William le Purser, John Makery, John Stercope. (L)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2b,1327/01/13,"The first Proclamation after the beheading of the Bishop of Exeter (Walter Stapleton) (fn. 4). No date: circa Nov. 1326 First, that the King's peace be maintained. That the King's ""places "" be open to do right to all manner of men, and that the judges and ministers, clerks, serjeants and attorneys thereof come and go without peril of body or goods, and that no one disturb them under penalty of forfeiture to the King. That all manner of men, merchants, strangers, denizens (privees), victuallers and others come and go in safety, as they were wont to do according to the liberties of the City of London. That, in order to avert perils and slanders from so good a City, which is a mirror to all England, no man of whatsoever condition be so bold as to rob or ""riffle"" or take goods against the will of the owner, in the City and outside, under penalty of life and limb. That each Alderman keep watches in his ward as before ordained; and that no man go armed by night or day, save officers and other good men of the City assigned by the Mayor and Aldermen in their wards to keep watch and preserve the peace, under penalty of forfeiture of arms and imprisonment at the King's pleasure. That no man of whatsoever condition do wrong or calumny or seek vengeance by reason of any past quarrel, but those that feel themselves aggrieved shall sue by way of law, and according to the usages of the City, under penalty of forfeiture to the King and City. That certain men of each mistery (fn. 5) be chosen by the assent of the same misteries to come to Guildhall, where the Mayor and Aldermen, together with them, shall treat and ordain on the needs of the City in salvation of all men, denizens and strangers, dwelling or repairing thither, and that the matters thus ordained by them shall be shown to the Commonalty before they be completed (supplies). That the good men of the City, who have their apprentices, hired men or servants, working with their hands or trading, shall cause them to work or trade as they were wont to do, and inform the Mayor, officers and other good men of the City of any that be rebellious, who shall be duly punished as a warning to others. That the good men of the City and others of the land, except John de Charleton (fn. 6), lately dwelling in the City, and the common enemies of the land, be free to enter the City in safety, in order to be in accord with the good men of the City for the common profit of the King and the land. Those that are in discord with others shall use their diligence to make accord, and if they cannot do so, it shall be lawful to them to depart without molestation of person or goods. That strangers coming in the company of the Queen and Edward, the King's eldest son, to succour the land, be treated with courtesy in London, and that all men of London warn their households so to behave towards denizens and strangers, that the City may be honoured by their good manners. That no one under pain and forfeiture do anything to another against the King's peace, and that none attack others or seize lands, goods or chattels, on the ground that they belong to the King's enemies, but if any person be found within the City, who was a notorious adherent or helper of those enemies, a citizen may cause him to be arrested and may keep him and his goods in custody, but without wasting those goods. That, whereas Master Geffrey Lescrope, at the request of the Queen, is directed by letter under the Common Seal to come to the City of London on business touching the realm, it is forbidden under penalty of life and limb to molest or disturb him or any of his men in coming, going or staying. That all the streets and lanes in the City and suburbs be cleansed and delivered of rubbish, timber and other hindrances, and that pentices and jetties be so high that men may ride beneath without hindrance, and that if any be ruinous and dangerous, they be removed. That no one, denizen or stranger, do against the Ordinances of the Staple until Parliament (tanque au parlement). (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2b,1327/01/12,"Proclamation made on Monday after the Feast of the Epiphany [6 Jan.] Ao 20 Edw. II [1326-7]. That no one take any manner of goods to the use of any man, against the will of the owner, but that goods pass by reasonable and friendly bargain between seller and buyer. Any man making prises against the will of the sellers shall be punished as an offender against the peace with the penalties prescribed in the statutes thereto relating, which statutes the King wills to be observed in all points. That no one, in the place where he is lodged either by delivery (of the Marshal (fn. 7) ) or otherwise, shall for any reason enter the room or private house of his host, or break open boxes or other private possessions, under colour of seeking oats (aveyne), and if any one do so, he shall be treated as a thief and robber. The King has commanded that his Great Seal, which by his orders is in the custody of the Queen, shall be open, as it has been for some time (fn. 8), and that law shall be done to all, and that the peace be maintained; that no one by reason of past events shall take another man, unless he be an officer assigned to do so by process of law; that anyone who wishes to complain of another shall be heard and aided by the law; that no one shall take vengeance on another for any reason; and that no one shall oust another from his house without delivery of the Marshals or of the officers of the City of London. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2b,1326/12/11,"Proclamation made on Thursday after the Feast of the Conception B.M. [8 Dec.] Ao 20 Edw. II [1326] by assent of the Commonalty, that no one molest the magnates and other men of the commonalty of the realm, who have been summoned to the Parliament at Westminster for the morrow of the Epiphany [6 Jan.]. Merchants are to be allowed free entry to the City with their goods, so long as they do nothing contrary to the City's rights. Citizens who have fled may return in peace, except John de Charleton (fn. 9). Any man having a complaint against another must deliver it by bill to the Mayor between now and Christmas, and speedy justice will be afforded to him. Offenders against the peace to be committed to prison, there to remain until the Commonalty ordains what shall be done with them. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Suppl. membr. 2b,1327/01/02,"Proclamation made on Friday before the Feast of the Epiphany [6 Jan.] Ao 20 Edw. II [1326-7], encouraging victuallers to return to the City and promising them that no one shall be allowed to take their goods without payment. No one shall take lodgings in the City or suburbs by force or by delivery of the Marshals (fn. 10), against the will of the owner. The bearing of arms is forbidden, except to the officers of the City assigned by the Mayor and Aldermen to keep watch in the Wards, and to the Hainaulters (Henuers (fn. 11) ) of the Queen, who are accustomed to go armed in the manner of their country. Foreigners coming to the City in the retinue of the Queen must be treated with courtesy, and no molestation offered to those persons summoned to Parliament. Persons offending against the peace shall be arrested by men of the venue and taken to the houses of the Mayor and Sheriffs. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Membr. 1 (3),No date,"Letter from the Bailiffs and Commonalty of Canterbury to the Mayor, citizens and Commonalty of London, disavowing the action of certain persons, who were spreading false reports and endeavouring to engender enmity between the two cities. (F) Formal reply to the above. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Membr. 1 (3),No date,"Letter from the Mayor and Barons of Winchelsea to the Mayor and citizens of London, repeating a former application for the return of some salt, which had been illegally taken, by way of custom due to the Queen, out of the ship ""La Blythe,"" whereof Richard Large was master, belonging to Robert, son of John Alard, a baron of Winchelsea, although the Barons of Winchelsea were by charter quit of such customs. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Membr. 1 (3),1327/03/13,"Reply to the above, setting forth that the salt had been taken in lieu of a payment of 2d for every sieve of 5 quarters, due to the Queen Hithe (fn. 12) from every stranger, whether belonging to the Cinque Ports or not, and that it had always been paid by merchants of Sandwich, Dover and other places without a murmur. Dated 13 March 1326[–7]. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Membr. 1 (3),1327/03/12,"Letter from the Mayor and Commonalty of London to the Bailiffs and good men of Sandwich, desiring them to restore to Walter de Mordon 130 tuns of woad-ashes (cendres de weyde (fn. 13) ), bought by him at La Swyne, which had been taken from his ship by Adam le Bakere, William Metacre and other men of Sandwich. Dated 12 March 1326[–7]. (F)"
Roll A 1b: (i) Dec 1326 - Oct 1327,Membr. 1 (3),1327/03/18,"Letter from the Mayor, Aldermen and Commonalty of London to the Bailiffs and Commonalty of the town of Southampton, desiring them to see justice done to John de Belton, whose ship ""La Margarete"" had been taken from him, being afterwards found at Hamele in the possession of Robert Richard of Chalk. When the above John had recovered his ship by process in the Common Bench, a certain John le Fleming of Southampton had despoiled the ship of its gear and boat, and had prosecuted him in a court of law. Dated 18 March 1326[–7]. (F)"
